year,month,day,gender,births,Decade
1969,1,99.0,F,26,1960
1969,1,99.0,M,38,1960
1969,2,1.0,F,4394,1960
1969,2,1.0,M,4736,1960
1969,2,2.0,F,4334,1960
1969,2,2.0,M,4480,1960
1969,2,3.0,F,4878,1960
1969,2,3.0,M,5110,1960
1969,2,4.0,F,4796,1960
1969,2,4.0,M,5200,1960
1969,2,5.0,F,4674,1960
1969,2,5.0,M,5002,1960
1969,2,6.0,F,4760,1960
1969,2,6.0,M,4968,1960
1969,2,7.0,F,4940,1960
1969,2,7.0,M,5162,1960
1969,2,8.0,F,4626,1960
1969,2,8.0,M,4636,1960
1969,2,9.0,F,4252,1960
1969,2,9.0,M,4442,1960
1969,2,10.0,F,4958,1960
1969,2,10.0,M,4996,1960
1969,2,11.0,F,4796,1960
1969,2,11.0,M,5060,1960
1969,2,12.0,F,4780,1960
1969,2,12.0,M,5228,1960
1969,2,13.0,F,4850,1960
1969,2,13.0,M,4756,1960
1969,2,14.0,F,5092,1960
1969,2,14.0,M,5262,1960
1969,2,15.0,F,4598,1960
1969,2,15.0,M,4712,1960
1969,2,16.0,F,4118,1960
1969,2,16.0,M,4416,1960
1969,2,17.0,F,4768,1960
1969,2,17.0,M,5054,1960
1969,2,18.0,F,4962,1960
1969,2,18.0,M,5214,1960
1969,2,19.0,F,4788,1960
1969,2,19.0,M,5028,1960
1969,2,20.0,F,4920,1960
1969,2,20.0,M,5062,1960
1969,2,21.0,F,4940,1960
1969,2,21.0,M,4976,1960
1969,2,22.0,F,4484,1960
1969,2,22.0,M,4668,1960
1969,2,23.0,F,4298,1960
1969,2,23.0,M,4406,1960
1969,2,24.0,F,4798,1960
1969,2,24.0,M,5168,1960
1969,2,25.0,F,5196,1960
1969,2,25.0,M,5370,1960
1969,2,26.0,F,4838,1960
1969,2,26.0,M,5210,1960
1969,2,27.0,F,4588,1960
1969,2,27.0,M,5030,1960
1969,2,28.0,F,4792,1960
1969,2,28.0,M,4964,1960
1969,2,29.0,F,50,1960
1969,2,29.0,M,16,1960
1969,2,30.0,F,24,1960
1969,2,30.0,M,28,1960
1969,2,31.0,F,24,1960
1969,2,31.0,M,20,1960
1969,2,99.0,F,42,1960
1969,2,99.0,M,48,1960
1969,3,1.0,F,4402,1960
1969,3,1.0,M,4784,1960
1969,3,2.0,F,4204,1960
1969,3,2.0,M,4376,1960
1969,3,3.0,F,4874,1960
1969,3,3.0,M,5194,1960
1969,3,4.0,F,4994,1960
1969,3,4.0,M,5270,1960
1969,3,5.0,F,4958,1960
1969,3,5.0,M,5088,1960
1969,3,6.0,F,4640,1960
1969,3,6.0,M,5064,1960
1969,3,7.0,F,4658,1960
1969,3,7.0,M,5290,1960
1969,3,8.0,F,4462,1960
1969,3,8.0,M,4872,1960
1969,3,9.0,F,4146,1960
1969,3,9.0,M,4248,1960
1969,3,10.0,F,4816,1960
1969,3,10.0,M,5076,1960
1969,3,11.0,F,5096,1960
1969,3,11.0,M,5092,1960
1969,3,12.0,F,4800,1960
1969,3,12.0,M,4976,1960
1969,3,13.0,F,4710,1960
1969,3,13.0,M,4930,1960
1969,3,14.0,F,4936,1960
1969,3,14.0,M,5098,1960
1969,3,15.0,F,4300,1960
1969,3,15.0,M,4538,1960
1969,3,16.0,F,4110,1960
1969,3,16.0,M,4226,1960
1969,3,17.0,F,4788,1960
1969,3,17.0,M,5340,1960
1969,3,18.0,F,4910,1960
1969,3,18.0,M,5226,1960
1969,3,19.0,F,4968,1960
1969,3,19.0,M,5096,1960
1969,3,20.0,F,4738,1960
1969,3,20.0,M,5074,1960
1969,3,21.0,F,4832,1960
1969,3,21.0,M,5070,1960
1969,3,22.0,F,4446,1960
1969,3,22.0,M,4516,1960
1969,3,23.0,F,4240,1960
1969,3,23.0,M,4362,1960
1969,3,24.0,F,4730,1960
1969,3,24.0,M,5072,1960
1969,3,25.0,F,4976,1960
1969,3,25.0,M,5296,1960
1969,3,26.0,F,4822,1960
1969,3,26.0,M,4996,1960
1969,3,27.0,F,4628,1960
1969,3,27.0,M,5070,1960
1969,3,28.0,F,4968,1960
1969,3,28.0,M,5358,1960
1969,3,29.0,F,4292,1960
1969,3,29.0,M,4616,1960
1969,3,30.0,F,3986,1960
1969,3,30.0,M,4200,1960
1969,3,31.0,F,4590,1960
1969,3,31.0,M,5002,1960
1969,3,99.0,F,64,1960
1969,3,99.0,M,50,1960
1969,4,1.0,F,4990,1960
1969,4,1.0,M,4970,1960
1969,4,2.0,F,4766,1960
1969,4,2.0,M,5212,1960
1969,4,3.0,F,4682,1960
1969,4,3.0,M,4848,1960
1969,4,4.0,F,4718,1960
1969,4,4.0,M,4854,1960
1969,4,5.0,F,4384,1960
1969,4,5.0,M,4364,1960
1969,4,6.0,F,3896,1960
1969,4,6.0,M,4112,1960
1969,4,7.0,F,4418,1960
1969,4,7.0,M,4956,1960
1969,4,8.0,F,4930,1960
1969,4,8.0,M,5246,1960
1969,4,9.0,F,4748,1960
1969,4,9.0,M,5104,1960
1969,4,10.0,F,4730,1960
1969,4,10.0,M,4978,1960
1969,4,11.0,F,4848,1960
1969,4,11.0,M,5072,1960
1969,4,12.0,F,4318,1960
1969,4,12.0,M,4622,1960
1969,4,13.0,F,3886,1960
1969,4,13.0,M,4248,1960
1969,4,14.0,F,4726,1960
1969,4,14.0,M,4840,1960
1969,4,15.0,F,5064,1960
1969,4,15.0,M,5364,1960
1969,4,16.0,F,4804,1960
1969,4,16.0,M,5036,1960
1969,4,17.0,F,4832,1960
1969,4,17.0,M,5044,1960
1969,4,18.0,F,4832,1960
1969,4,18.0,M,5040,1960
1969,4,19.0,F,4292,1960
1969,4,19.0,M,4702,1960
1969,4,20.0,F,3760,1960
1969,4,20.0,M,4168,1960
1969,4,21.0,F,4828,1960
1969,4,21.0,M,4782,1960
1969,4,22.0,F,5016,1960
1969,4,22.0,M,5210,1960
1969,4,23.0,F,4660,1960
1969,4,23.0,M,5208,1960
1969,4,24.0,F,4620,1960
1969,4,24.0,M,4852,1960
1969,4,25.0,F,4610,1960
1969,4,25.0,M,5036,1960
1969,4,26.0,F,4338,1960
1969,4,26.0,M,4584,1960
1969,4,27.0,F,3846,1960
1969,4,27.0,M,4120,1960
1969,4,28.0,F,4622,1960
1969,4,28.0,M,4896,1960
1969,4,29.0,F,4622,1960
1969,4,29.0,M,5078,1960
1969,4,30.0,F,4396,1960
1969,4,30.0,M,4742,1960
1969,4,31.0,F,28,1960
1969,4,31.0,M,24,1960
1969,4,99.0,F,50,1960
1969,4,99.0,M,66,1960
1969,5,1.0,F,4598,1960
1969,5,1.0,M,4608,1960
1969,5,2.0,F,4708,1960
1969,5,2.0,M,5028,1960
1969,5,3.0,F,4148,1960
1969,5,3.0,M,4620,1960
1969,5,4.0,F,3922,1960
1969,5,4.0,M,4172,1960
1969,5,5.0,F,4854,1960
1969,5,5.0,M,5076,1960
1969,5,6.0,F,4906,1960
1969,5,6.0,M,5058,1960
1969,5,7.0,F,4724,1960
1969,5,7.0,M,4902,1960
1969,5,8.0,F,4564,1960
1969,5,8.0,M,4920,1960
1969,5,9.0,F,4634,1960
1969,5,9.0,M,4728,1960
1969,5,10.0,F,4072,1960
1969,5,10.0,M,4444,1960
1969,5,11.0,F,3998,1960
1969,5,11.0,M,4124,1960
1969,5,12.0,F,4570,1960
1969,5,12.0,M,4736,1960
1969,5,13.0,F,4776,1960
1969,5,13.0,M,5086,1960
1969,5,14.0,F,4402,1960
1969,5,14.0,M,4782,1960
1969,5,15.0,F,4646,1960
1969,5,15.0,M,4878,1960
1969,5,16.0,F,4880,1960
1969,5,16.0,M,4944,1960
1969,5,17.0,F,4376,1960
1969,5,17.0,M,4570,1960
1969,5,18.0,F,3922,1960
1969,5,18.0,M,4106,1960
1969,5,19.0,F,4626,1960
1969,5,19.0,M,4868,1960
1969,5,20.0,F,5034,1960
1969,5,20.0,M,5354,1960
1969,5,21.0,F,4698,1960
1969,5,21.0,M,5068,1960
1969,5,22.0,F,4630,1960
1969,5,22.0,M,4776,1960
1969,5,23.0,F,4548,1960
1969,5,23.0,M,5036,1960
1969,5,24.0,F,4174,1960
1969,5,24.0,M,4384,1960
1969,5,25.0,F,4030,1960
1969,5,25.0,M,4196,1960
1969,5,26.0,F,4752,1960
1969,5,26.0,M,5088,1960
1969,5,27.0,F,5264,1960
1969,5,27.0,M,5088,1960
1969,5,28.0,F,4966,1960
1969,5,28.0,M,4972,1960
1969,5,29.0,F,4878,1960
1969,5,29.0,M,5312,1960
1969,5,30.0,F,4452,1960
1969,5,30.0,M,4702,1960
1969,5,31.0,F,4112,1960
1969,5,31.0,M,4528,1960
1969,5,99.0,F,54,1960
1969,5,99.0,M,52,1960
1969,6,1.0,F,4174,1960
1969,6,1.0,M,4252,1960
1969,6,2.0,F,4736,1960
1969,6,2.0,M,5126,1960
1969,6,3.0,F,5146,1960
1969,6,3.0,M,5012,1960
1969,6,4.0,F,4750,1960
1969,6,4.0,M,5088,1960
1969,6,5.0,F,4686,1960
1969,6,5.0,M,4902,1960
1969,6,6.0,F,4864,1960
1969,6,6.0,M,5142,1960
1969,6,7.0,F,4342,1960
1969,6,7.0,M,4472,1960
1969,6,8.0,F,3958,1960
1969,6,8.0,M,4268,1960
1969,6,9.0,F,4826,1960
1969,6,9.0,M,4912,1960
1969,6,10.0,F,4920,1960
1969,6,10.0,M,5400,1960
1969,6,11.0,F,4760,1960
1969,6,11.0,M,5190,1960
1969,6,12.0,F,4980,1960
1969,6,12.0,M,5240,1960
1969,6,13.0,F,4772,1960
1969,6,13.0,M,5080,1960
1969,6,14.0,F,4358,1960
1969,6,14.0,M,4562,1960
1969,6,15.0,F,4046,1960
1969,6,15.0,M,4356,1960
1969,6,16.0,F,4628,1960
1969,6,16.0,M,5116,1960
1969,6,17.0,F,5150,1960
1969,6,17.0,M,5144,1960
1969,6,18.0,F,4864,1960
1969,6,18.0,M,5356,1960
1969,6,19.0,F,4630,1960
1969,6,19.0,M,5126,1960
1969,6,20.0,F,5122,1960
1969,6,20.0,M,5302,1960
1969,6,21.0,F,4328,1960
1969,6,21.0,M,4706,1960
1969,6,22.0,F,4136,1960
1969,6,22.0,M,4476,1960
1969,6,23.0,F,4842,1960
1969,6,23.0,M,5038,1960
1969,6,24.0,F,5180,1960
1969,6,24.0,M,5444,1960
1969,6,25.0,F,5196,1960
1969,6,25.0,M,5270,1960
1969,6,26.0,F,5016,1960
1969,6,26.0,M,5328,1960
1969,6,27.0,F,5288,1960
1969,6,27.0,M,5488,1960
1969,6,28.0,F,4610,1960
1969,6,28.0,M,4956,1960
1969,6,29.0,F,4262,1960
1969,6,29.0,M,4538,1960
1969,6,30.0,F,5260,1960
1969,6,30.0,M,5328,1960
1969,6,31.0,F,20,1960
1969,6,31.0,M,40,1960
1969,6,99.0,F,54,1960
1969,6,99.0,M,48,1960
1969,7,1.0,F,5378,1960
1969,7,1.0,M,5768,1960
1969,7,2.0,F,5242,1960
1969,7,2.0,M,5516,1960
1969,7,3.0,F,5030,1960
1969,7,3.0,M,5532,1960
1969,7,4.0,F,4504,1960
1969,7,4.0,M,4664,1960
1969,7,5.0,F,4492,1960
1969,7,5.0,M,4756,1960
1969,7,6.0,F,4246,1960
1969,7,6.0,M,4614,1960
1969,7,7.0,F,5138,1960
1969,7,7.0,M,5496,1960
1969,7,8.0,F,5282,1960
1969,7,8.0,M,5560,1960
1969,7,9.0,F,5132,1960
1969,7,9.0,M,5444,1960
1969,7,10.0,F,5166,1960
1969,7,10.0,M,5396,1960
1969,7,11.0,F,5210,1960
1969,7,11.0,M,5476,1960
1969,7,12.0,F,4596,1960
1969,7,12.0,M,4876,1960
1969,7,13.0,F,4454,1960
1969,7,13.0,M,4524,1960
1969,7,14.0,F,4768,1960
1969,7,14.0,M,5474,1960
1969,7,15.0,F,5486,1960
1969,7,15.0,M,5810,1960
1969,7,16.0,F,5086,1960
1969,7,16.0,M,5612,1960
1969,7,17.0,F,5194,1960
1969,7,17.0,M,5474,1960
1969,7,18.0,F,5242,1960
1969,7,18.0,M,5390,1960
1969,7,19.0,F,4838,1960
1969,7,19.0,M,4836,1960
1969,7,20.0,F,4320,1960
1969,7,20.0,M,4620,1960
1969,7,21.0,F,4984,1960
1969,7,21.0,M,5212,1960
1969,7,22.0,F,5408,1960
1969,7,22.0,M,5632,1960
1969,7,23.0,F,5092,1960
1969,7,23.0,M,5376,1960
1969,7,24.0,F,5124,1960
1969,7,24.0,M,5306,1960
1969,7,25.0,F,5126,1960
1969,7,25.0,M,5562,1960
1969,7,26.0,F,4734,1960
1969,7,26.0,M,5052,1960
1969,7,27.0,F,4626,1960
1969,7,27.0,M,4782,1960
1969,7,28.0,F,4990,1960
1969,7,28.0,M,5558,1960
1969,7,29.0,F,5434,1960
1969,7,29.0,M,5668,1960
1969,7,30.0,F,5192,1960
1969,7,30.0,M,5442,1960
1969,7,31.0,F,5076,1960
1969,7,31.0,M,5270,1960
1969,7,99.0,F,24,1960
1969,7,99.0,M,44,1960
1969,8,1.0,F,5112,1960
1969,8,1.0,M,5618,1960
1969,8,2.0,F,4872,1960
1969,8,2.0,M,5110,1960
1969,8,3.0,F,4464,1960
1969,8,3.0,M,4618,1960
1969,8,4.0,F,5118,1960
1969,8,4.0,M,5332,1960
1969,8,5.0,F,5418,1960
1969,8,5.0,M,5526,1960
1969,8,6.0,F,5232,1960
1969,8,6.0,M,5620,1960
1969,8,7.0,F,5066,1960
1969,8,7.0,M,5316,1960
1969,8,8.0,F,5376,1960
1969,8,8.0,M,5926,1960
1969,8,9.0,F,4968,1960
1969,8,9.0,M,5124,1960
1969,8,10.0,F,4394,1960
1969,8,10.0,M,4712,1960
1969,8,11.0,F,5120,1960
1969,8,11.0,M,5586,1960
1969,8,12.0,F,5542,1960
1969,8,12.0,M,5596,1960
1969,8,13.0,F,5210,1960
1969,8,13.0,M,5592,1960
1969,8,14.0,F,5290,1960
1969,8,14.0,M,5436,1960
1969,8,15.0,F,5298,1960
1969,8,15.0,M,5612,1960
1969,8,16.0,F,4774,1960
1969,8,16.0,M,4998,1960
1969,8,17.0,F,4482,1960
1969,8,17.0,M,4642,1960
1969,8,18.0,F,5120,1960
1969,8,18.0,M,5530,1960
1969,8,19.0,F,5550,1960
1969,8,19.0,M,5860,1960
1969,8,20.0,F,5226,1960
1969,8,20.0,M,5692,1960
1969,8,21.0,F,4962,1960
1969,8,21.0,M,5222,1960
1969,8,22.0,F,5170,1960
1969,8,22.0,M,5416,1960
1969,8,23.0,F,4682,1960
1969,8,23.0,M,4978,1960
1969,8,24.0,F,4438,1960
1969,8,24.0,M,4646,1960
1969,8,25.0,F,5104,1960
1969,8,25.0,M,5482,1960
1969,8,26.0,F,5400,1960
1969,8,26.0,M,5682,1960
1969,8,27.0,F,5076,1960
1969,8,27.0,M,5562,1960
1969,8,28.0,F,5162,1960
1969,8,28.0,M,5454,1960
1969,8,29.0,F,5138,1960
1969,8,29.0,M,5576,1960
1969,8,30.0,F,4680,1960
1969,8,30.0,M,5028,1960
1969,8,31.0,F,4358,1960
1969,8,31.0,M,4628,1960
1969,8,99.0,F,54,1960
1969,8,99.0,M,58,1960
1969,9,1.0,F,4440,1960
1969,9,1.0,M,4572,1960
1969,9,2.0,F,5174,1960
1969,9,2.0,M,5512,1960
1969,9,3.0,F,5210,1960
1969,9,3.0,M,5834,1960
1969,9,4.0,F,5172,1960
1969,9,4.0,M,5334,1960
1969,9,5.0,F,5032,1960
1969,9,5.0,M,5578,1960
1969,9,6.0,F,4722,1960
1969,9,6.0,M,4988,1960
1969,9,7.0,F,4514,1960
1969,9,7.0,M,4682,1960
1969,9,8.0,F,5030,1960
1969,9,8.0,M,5478,1960
1969,9,9.0,F,5172,1960
1969,9,9.0,M,5426,1960
1969,9,10.0,F,5020,1960
1969,9,10.0,M,5430,1960
1969,9,11.0,F,5042,1960
1969,9,11.0,M,5366,1960
1969,9,12.0,F,5226,1960
1969,9,12.0,M,5526,1960
1969,9,13.0,F,4744,1960
1969,9,13.0,M,4790,1960
1969,9,14.0,F,4552,1960
1969,9,14.0,M,4652,1960
1969,9,15.0,F,5122,1960
1969,9,15.0,M,5606,1960
1969,9,16.0,F,5390,1960
1969,9,16.0,M,5752,1960
1969,9,17.0,F,5268,1960
1969,9,17.0,M,5596,1960
1969,9,18.0,F,5288,1960
1969,9,18.0,M,5588,1960
1969,9,19.0,F,5422,1960
1969,9,19.0,M,5410,1960
1969,9,20.0,F,4930,1960
1969,9,20.0,M,5110,1960
1969,9,21.0,F,4712,1960
1969,9,21.0,M,4656,1960
1969,9,22.0,F,5374,1960
1969,9,22.0,M,5596,1960
1969,9,23.0,F,5504,1960
1969,9,23.0,M,5796,1960
1969,9,24.0,F,5250,1960
1969,9,24.0,M,5648,1960
1969,9,25.0,F,5278,1960
1969,9,25.0,M,5562,1960
1969,9,26.0,F,5508,1960
1969,9,26.0,M,5646,1960
1969,9,27.0,F,4986,1960
1969,9,27.0,M,5184,1960
1969,9,28.0,F,4564,1960
1969,9,28.0,M,4634,1960
1969,9,29.0,F,5192,1960
1969,9,29.0,M,5516,1960
1969,9,30.0,F,5454,1960
1969,9,30.0,M,5684,1960
1969,9,31.0,F,38,1960
1969,9,31.0,M,30,1960
1969,9,99.0,F,60,1960
1969,9,99.0,M,48,1960
1969,10,1.0,F,5290,1960
1969,10,1.0,M,5620,1960
1969,10,2.0,F,5322,1960
1969,10,2.0,M,5334,1960
1969,10,3.0,F,5324,1960
1969,10,3.0,M,5598,1960
1969,10,4.0,F,4732,1960
1969,10,4.0,M,4978,1960
1969,10,5.0,F,4464,1960
1969,10,5.0,M,4508,1960
1969,10,6.0,F,5008,1960
1969,10,6.0,M,5310,1960
1969,10,7.0,F,5150,1960
1969,10,7.0,M,5504,1960
1969,10,8.0,F,5194,1960
1969,10,8.0,M,5316,1960
1969,10,9.0,F,5268,1960
1969,10,9.0,M,5442,1960
1969,10,10.0,F,5398,1960
1969,10,10.0,M,5350,1960
1969,10,11.0,F,4640,1960
1969,10,11.0,M,4926,1960
1969,10,12.0,F,4428,1960
1969,10,12.0,M,4586,1960
1969,10,13.0,F,4894,1960
1969,10,13.0,M,5102,1960
1969,10,14.0,F,5048,1960
1969,10,14.0,M,5570,1960
1969,10,15.0,F,4884,1960
1969,10,15.0,M,5236,1960
1969,10,16.0,F,4836,1960
1969,10,16.0,M,5082,1960
1969,10,17.0,F,5088,1960
1969,10,17.0,M,5250,1960
1969,10,18.0,F,4382,1960
1969,10,18.0,M,4790,1960
1969,10,19.0,F,4092,1960
1969,10,19.0,M,4494,1960
1969,10,20.0,F,4876,1960
1969,10,20.0,M,5272,1960
1969,10,21.0,F,5088,1960
1969,10,21.0,M,5586,1960
1969,10,22.0,F,5018,1960
1969,10,22.0,M,5282,1960
1969,10,23.0,F,4790,1960
1969,10,23.0,M,5024,1960
1969,10,24.0,F,4920,1960
1969,10,24.0,M,5090,1960
1969,10,25.0,F,4416,1960
1969,10,25.0,M,4842,1960
1969,10,26.0,F,4300,1960
1969,10,26.0,M,4564,1960
1969,10,27.0,F,5054,1960
1969,10,27.0,M,5318,1960
1969,10,28.0,F,5096,1960
1969,10,28.0,M,5544,1960
1969,10,29.0,F,4920,1960
1969,10,29.0,M,5184,1960
1969,10,30.0,F,4930,1960
1969,10,30.0,M,5180,1960
1969,10,31.0,F,4836,1960
1969,10,31.0,M,5308,1960
1969,10,99.0,F,48,1960
1969,10,99.0,M,48,1960
1969,11,1.0,F,4676,1960
1969,11,1.0,M,4666,1960
1969,11,2.0,F,4376,1960
1969,11,2.0,M,4528,1960
1969,11,3.0,F,4952,1960
1969,11,3.0,M,5386,1960
1969,11,4.0,F,5114,1960
1969,11,4.0,M,5658,1960
1969,11,5.0,F,4832,1960
1969,11,5.0,M,5188,1960
1969,11,6.0,F,5090,1960
1969,11,6.0,M,5150,1960
1969,11,7.0,F,5172,1960
1969,11,7.0,M,5488,1960
1969,11,8.0,F,4726,1960
1969,11,8.0,M,4952,1960
1969,11,9.0,F,4342,1960
1969,11,9.0,M,4680,1960
1969,11,10.0,F,5024,1960
1969,11,10.0,M,5318,1960
1969,11,11.0,F,5252,1960
1969,11,11.0,M,5626,1960
1969,11,12.0,F,4862,1960
1969,11,12.0,M,5462,1960
1969,11,13.0,F,5028,1960
1969,11,13.0,M,5072,1960
1969,11,14.0,F,5210,1960
1969,11,14.0,M,5186,1960
1969,11,15.0,F,4480,1960
1969,11,15.0,M,4818,1960
1969,11,16.0,F,4290,1960
1969,11,16.0,M,4370,1960
1969,11,17.0,F,4966,1960
1969,11,17.0,M,5320,1960
1969,11,18.0,F,5346,1960
1969,11,18.0,M,5352,1960
1969,11,19.0,F,5000,1960
1969,11,19.0,M,5260,1960
1969,11,20.0,F,5072,1960
1969,11,20.0,M,5186,1960
1969,11,21.0,F,4846,1960
1969,11,21.0,M,5322,1960
1969,11,22.0,F,4576,1960
1969,11,22.0,M,4862,1960
1969,11,23.0,F,4354,1960
1969,11,23.0,M,4512,1960
1969,11,24.0,F,5186,1960
1969,11,24.0,M,5276,1960
1969,11,25.0,F,5318,1960
1969,11,25.0,M,5546,1960
1969,11,26.0,F,4874,1960
1969,11,26.0,M,5200,1960
1969,11,27.0,F,4084,1960
1969,11,27.0,M,4164,1960
1969,11,28.0,F,4838,1960
1969,11,28.0,M,5110,1960
1969,11,29.0,F,4536,1960
1969,11,29.0,M,4796,1960
1969,11,30.0,F,4448,1960
1969,11,30.0,M,4518,1960
1969,11,31.0,F,54,1960
1969,11,31.0,M,62,1960
1969,11,99.0,F,40,1960
1969,11,99.0,M,56,1960
1969,12,1.0,F,5124,1960
1969,12,1.0,M,5524,1960
1969,12,2.0,F,5224,1960
1969,12,2.0,M,5512,1960
1969,12,3.0,F,4948,1960
1969,12,3.0,M,5352,1960
1969,12,4.0,F,5042,1960
1969,12,4.0,M,5212,1960
1969,12,5.0,F,4988,1960
1969,12,5.0,M,5440,1960
1969,12,6.0,F,4602,1960
1969,12,6.0,M,4818,1960
1969,12,7.0,F,4178,1960
1969,12,7.0,M,4562,1960
1969,12,8.0,F,5240,1960
1969,12,8.0,M,5406,1960
1969,12,9.0,F,5246,1960
1969,12,9.0,M,5484,1960
1969,12,10.0,F,5108,1960
1969,12,10.0,M,5240,1960
1969,12,11.0,F,5052,1960
1969,12,11.0,M,5248,1960
1969,12,12.0,F,5254,1960
1969,12,12.0,M,5504,1960
1969,12,13.0,F,4680,1960
1969,12,13.0,M,4922,1960
1969,12,14.0,F,4174,1960
1969,12,14.0,M,4588,1960
1969,12,15.0,F,5328,1960
1969,12,15.0,M,5570,1960
1969,12,16.0,F,5368,1960
1969,12,16.0,M,5654,1960
1969,12,17.0,F,5138,1960
1969,12,17.0,M,5508,1960
1969,12,18.0,F,5180,1960
1969,12,18.0,M,5246,1960
1969,12,19.0,F,5366,1960
1969,12,19.0,M,5546,1960
1969,12,20.0,F,4964,1960
1969,12,20.0,M,4858,1960
1969,12,21.0,F,4434,1960
1969,12,21.0,M,4430,1960
1969,12,22.0,F,5194,1960
1969,12,22.0,M,5298,1960
1969,12,23.0,F,4820,1960
1969,12,23.0,M,5036,1960
1969,12,24.0,F,4322,1960
1969,12,24.0,M,4656,1960
1969,12,25.0,F,4136,1960
1969,12,25.0,M,4148,1960
1969,12,26.0,F,4826,1960
1969,12,26.0,M,5084,1960
1969,12,27.0,F,4544,1960
1969,12,27.0,M,4760,1960
1969,12,28.0,F,4344,1960
1969,12,28.0,M,4660,1960
1969,12,29.0,F,5364,1960
1969,12,29.0,M,5616,1960
1969,12,30.0,F,5988,1960
1969,12,30.0,M,6244,1960
1969,12,31.0,F,5602,1960
1969,12,31.0,M,5520,1960
1969,12,99.0,F,44,1960
1969,12,99.0,M,54,1960
1970,1,1.0,F,4064,1970
1970,1,1.0,M,4308,1970
1970,1,2.0,F,4536,1970
1970,1,2.0,M,4698,1970
1970,1,3.0,F,4398,1970
1970,1,3.0,M,4764,1970
1970,1,4.0,F,3968,1970
1970,1,4.0,M,4652,1970
1970,1,5.0,F,4718,1970
1970,1,5.0,M,5134,1970
1970,1,6.0,F,4998,1970
1970,1,6.0,M,5204,1970
1970,1,7.0,F,4910,1970
1970,1,7.0,M,5110,1970
1970,1,8.0,F,4744,1970
1970,1,8.0,M,5012,1970
1970,1,9.0,F,4828,1970
1970,1,9.0,M,5016,1970
1970,1,10.0,F,4490,1970
1970,1,10.0,M,4780,1970
1970,1,11.0,F,4476,1970
1970,1,11.0,M,4682,1970
1970,1,12.0,F,5056,1970
1970,1,12.0,M,5418,1970
1970,1,13.0,F,5078,1970
1970,1,13.0,M,5502,1970
1970,1,14.0,F,4986,1970
1970,1,14.0,M,5258,1970
1970,1,15.0,F,4764,1970
1970,1,15.0,M,5182,1970
1970,1,16.0,F,4992,1970
1970,1,16.0,M,5284,1970
1970,1,17.0,F,4662,1970
1970,1,17.0,M,4936,1970
1970,1,18.0,F,4378,1970
1970,1,18.0,M,4570,1970
1970,1,19.0,F,4946,1970
1970,1,19.0,M,5178,1970
1970,1,20.0,F,5084,1970
1970,1,20.0,M,5440,1970
1970,1,21.0,F,4908,1970
1970,1,21.0,M,5188,1970
1970,1,22.0,F,4684,1970
1970,1,22.0,M,5002,1970
1970,1,23.0,F,5012,1970
1970,1,23.0,M,5190,1970
1970,1,24.0,F,4746,1970
1970,1,24.0,M,4724,1970
1970,1,25.0,F,4312,1970
1970,1,25.0,M,4480,1970
1970,1,26.0,F,4972,1970
1970,1,26.0,M,5188,1970
1970,1,27.0,F,5090,1970
1970,1,27.0,M,5512,1970
1970,1,28.0,F,4894,1970
1970,1,28.0,M,5294,1970
